Left Riverbank: 	chickens: 54, 	wolves: 53, 	boat: 0
Right Riverbank: 	chickens: 45, 	wolves: 43, 	boat: 1

Left Riverbank: 	chickens: 55, 	wolves: 53, 	boat: 1
Right Riverbank: 	chickens: 44, 	wolves: 43, 	boat: 0

Left Riverbank: 	chickens: 54, 	wolves: 52, 	boat: 0
Right Riverbank: 	chickens: 45, 	wolves: 44, 	boat: 1

Left Riverbank: 	chickens: 55, 	wolves: 52, 	boat: 1
Right Riverbank: 	chickens: 44, 	wolves: 44, 	boat: 0

Left Riverbank: 	chickens: 53, 	wolves: 52, 	boat: 0
Right Riverbank: 	chickens: 46, 	wolves: 44, 	boat: 1

Left Riverbank: 	chickens: 54, 	wolves: 52, 	boat: 1
Right Riverbank: 	chickens: 45, 	wolves: 44, 	boat: 0

Left Riverbank: 	chickens: 53, 	wolves: 51, 	boat: 0
Right Riverbank: 	chickens: 46, 	wolves: 45, 	boat: 1

Left Riverbank: 	chickens: 54, 	wolves: 51, 	boat: 1
Right Riverbank: 	chickens: 45, 	wolves: 45, 	boat: 0

Left Riverbank: 	chickens: 52, 	wolves: 51, 	boat: 0
Right Riverbank: 	chickens: 47, 	wolves: 45, 	boat: 1

Left Riverbank: 	chickens: 53, 	wolves: 51, 	boat: 1
Right Riverbank: 	chickens: 46, 	wolves: 45, 	boat: 0

Left Riverbank: 	chickens: 52, 	wolves: 50, 	boat: 0
Right Riverbank: 	chickens: 47, 	wolves: 46, 	boat: 1

Left Riverbank: 	chickens: 53, 	wolves: 50, 	boat: 1
Right Riverbank: 	chickens: 46, 	wolves: 46, 	boat: 0

Left Riverbank: 	chickens: 51, 	wolves: 50, 	boat: 0
Right Riverbank: 	chickens: 48, 	wolves: 46, 	boat: 1

Left Riverbank: 	chickens: 52, 	wolves: 50, 	boat: 1
Right Riverbank: 	chickens: 47, 	wolves: 46, 	boat: 0

Left Riverbank: 	chickens: 51, 	wolves: 49, 	boat: 0
Right Riverbank: 	chickens: 48, 	wolves: 47, 	boat: 1

Left Riverbank: 	chickens: 52, 	wolves: 49, 	boat: 1
Right Riverbank: 	chickens: 47, 	wolves: 47, 	boat: 0

Left Riverbank: 	chickens: 50, 	wolves: 49, 	boat: 0
Right Riverbank: 	chickens: 49, 	wolves: 47, 	boat: 1

Left Riverbank: 	chickens: 51, 	wolves: 49, 	boat: 1
Right Riverbank: 	chickens: 48, 	wolves: 47, 	boat: 0

Left Riverbank: 	chickens: 50, 	wolves: 48, 	boat: 0
Right Riverbank: 	chickens: 49, 	wolves: 48, 	boat: 1

Left Riverbank: 	chickens: 51, 	wolves: 48, 	boat: 1
Right Riverbank: 	chickens: 48, 	wolves: 48, 	boat: 0

Left Riverbank: 	chickens: 49, 	wolves: 48, 	boat: 0
Right Riverbank: 	chickens: 50, 	wolves: 48, 	boat: 1

Left Riverbank: 	chickens: 50, 	wolves: 48, 	boat: 1
Right Riverbank: 	chickens: 49, 	wolves: 48, 	boat: 0

Left Riverbank: 	chickens: 49, 	wolves: 47, 	boat: 0
Right Riverbank: 	chickens: 50, 	wolves: 49, 	boat: 1

Left Riverbank: 	chickens: 50, 	wolves: 47, 	boat: 1
Right Riverbank: 	chickens: 49, 	wolves: 49, 	boat: 0

Left Riverbank: 	chickens: 48, 	wolves: 47, 	boat: 0
Right Riverbank: 	chickens: 51, 	wolves: 49, 	boat: 1

Left Riverbank: 	chickens: 49, 	wolves: 47, 	boat: 1
Right Riverbank: 	chickens: 50, 	wolves: 49, 	boat: 0

Left Riverbank: 	chickens: 48, 	wolves: 46, 	boat: 0
Right Riverbank: 	chickens: 51, 	wolves: 50, 	boat: 1

Left Riverbank: 	chickens: 49, 	wolves: 46, 	boat: 1
Right Riverbank: 	chickens: 50, 	wolves: 50, 	boat: 0

Left Riverbank: 	chickens: 47, 	wolves: 46, 	boat: 0
Right Riverbank: 	chickens: 52, 	wolves: 50, 	boat: 1

Left Riverbank: 	chickens: 48, 	wolves: 46, 	boat: 1
